Date,Time,Symbol,Quantity,Price,Side,Commission
2025-03-06,13:41:00,CEG,0.9345,214.01,Compra,0.0
2025-03-06,13:42:00,VST,1.7199,116.29,Compra,0.0
2025-03-10,13:59:00,BTC,0.00385,78000.0,Compra,0.0
2025-03-12,13:55:00,CVNA,-1.55,180.84,Cierre,0.0
2025-03-12,21:51:00,ETH,0.1053,1900.0,Compra,0.0
2025-03-13,08:31:00,HOOD,5.23,38.27,Compra,0.0
2025-03-13,13:19:00,TSLA,1.25,240.0,Compra,0.0
2025-03-14,09:44:00,COP,3.055,98.2,Compra,0.0
2025-04-11,10:30:00,ETH,0.1286,1556.0,Compra,0.0
2025-04-11,10:31:00,OXY,8.364,35.87,Compra,0.0
2025-04-22,09:47:00,AMZN,1.46,171.6,Compra,0.0
2025-04-22,09:49:00,DKNG,7.6,32.9,Compra,0.0
2025-04-23,14:38:57,SPY,-5.5662,534.8,Cierre,0.0
2025-05-08,08:31:00,SHOP,3.36,89.44,Compra,0.0
2025-05-19,08:30:00,NIO,-81.63,3.97,Cierre,0.0
2025-05-19,08:31:00,ABNB,-6.89,135.31,Cierre,0.0
2025-05-19,08:32:00,RIVN,-113.891,15.44,Cierre,0.0
2025-05-19,08:33:00,SPCE,-10.4386,4.88,Cierre,0.0
2025-05-19,08:34:00,CTRA,-10.27,24.48,Cierre,0.0
2025-05-19,08:35:00,CHPT,-159.58,0.7,Cierre,0.0
2025-05-19,08:37:00,EUR/USD,-1830.5,1.1178,Cierre,0.0
2025-05-19,08:38:00,DLTR,-6.42,85.01,Cierre,0.0
2025-05-19,08:39:00,TLT,-4.025,84.91,Cierre,0.0
2025-05-19,08:40:00,CVS,-5.31,63.02,Cierre,0.0
2025-05-19,08:41:00,XOM,-2.69,107.57,Cierre,0.0
2025-05-19,08:43:00,BWXT,-3.0781,108.59,Cierre,0.0
2025-05-19,09:06:00,CEG,-1.6513,283.35,Cierre,0.0
2025-05-19,09:06:00,VST,-3.0789,150.38,Cierre,0.0
2025-05-19,09:07:00,HOOD,-5.23,59.86,Cierre,0.0
2025-05-19,09:08:00,TSLA,-1.25,336.3,Cierre,0.0
2025-05-19,09:10:00,COP,-3.055,91.75,Cierre,0.0
2025-05-19,09:11:00,DKNG,-7.6,36.0,Cierre,0.0
2025-05-19,09:11:00,AMZN,-1.46,201.65,Cierre,0.0
2025-05-19,09:12:00,SHOP,-3.36,108.81,Cierre,0.0
2025-05-19,09:13:00,OXY,-6.447,42.53,Cierre,0.0
2025-05-19,09:14:00,ETH,-0.11695,2497.78,Cierre,0.0
2025-05-19,09:28:00,BTC,-0.00195,106454.27,Cierre,0.0
2025-05-19,09:48:00,GLD,3.358,297.8,Compra,0.0
2025-06-10,11:08:00,TLT,2.333,85.74,Compra,0.0
2025-06-24,10:13:00,SPY,3.31,605.27,Venta,0.0
2025-06-26,10:19:00,EUR/USD,854.774,1.1699,Venta,0.0
2025-07-09,16:49:00,BTC,-0.0019,110968.0,Cierre,0.0
2025-07-09,16:52:00,ETH,-0.117,2747.0,Cierre,0.0
2025-07-10,08:31:00,SPY,0.802,624.2,Venta,0.0
2025-08-05,09:50:00,CVNA,1.121,357.0,Venta,0.0
2025-08-21,09:30:00,CRCL,1.482,135.0,Compra,0.0
2025-08-25,09:51:00,SPY,1.553,644.0,Venta,0.0
2025-08-26,09:20:00,TLT,3.4771,86.28,Compra,0.0
2025-08-28,08:59:00,NVDA,1.6643,180.3,Venta,0.0
2025-09-28,09:30:00,QQQ,0.8346,599.11,Venta,0.0
